"Source:","/home/ostoja/Elektronika/Projekti/elektronsko_opterecenje/front_panel/front_panel.kicad_sch"
"Date:","Tue Nov 21 00:17:31 2023"
"Tool:","Eeschema 7.0.8"
"Generator:","/usr/share/kicad/plugins/extract_price.py"
"Component Count:","39"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Price","Sim.Device","Sim.Library","Sim.Name","Sim.Pins","Type"
"1","2"
"2","1","0.015"
"3","2","0.02"
"4","1","4.0"
"5","14","0.14"
"6","1","0.02"
"7","2","0.38"
"8","2"
"9","2"
"10","1","0.35"
"11","2","3.82"
"12","1","0.358"
"13","2","1.6"
"14","1"
"15","1"
"16","1","4.0"
"17","2","0.818"
"18","1","1.11"
