"Source:","/home/ostoja/Elektronika/Projekti/elektronsko_opterecenje/mosfet_load_module/mosfet_load_module.kicad_sch"
"Date:","Sun Nov 19 21:57:57 2023"
"Tool:","Eeschema 7.0.8"
"Generator:","/usr/share/kicad/plugins/extract_price.py"
"Component Count:","44"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Price","Sim.Device","Sim.Enable","Sim.Library","Sim.Name","Sim.Params","Sim.Pins","Sim.Type"
"1","3"
"2","2"
"3","2"
"4","3","0.045"
"5","2","0.04"
"6","2"
"7","2","2.02"
"8","2","0.1"
"9","4"
"10","3"
"11","1","0.352"
"12","1","0.352"
"13","1","0.352"
"14","1","0.352"
"15","5"
"16","2","0.704"
"17","2"
"18","2","0.554"
"19","1","0.324"
"20","1","1.91"
"21","2","0.472"
